"ReportLast90_21 (2021-01-07 - 2021-04-06)"
Date	CampaignName	AvgClickPosition	Impressions	Clicks	Ctr	Cost	AvgCpc	AvgPageviews	Placement
2021-01-07	Test API Sandbox campaign 1	1.20	924	118	12.77	57840000	490000	2.07	advertising.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.21	1304	120	9.20	44750000	370000	3.12	afisha-rubric
2021-01-07	Test API Sandbox campaign 1	1.22	26	12	46.15	7630000	640000	4.00	afisha-rubric
2021-01-07	Test API Sandbox campaign 1	1.21	1116	120	10.75	109700000	910000	2.03	agrobiznes.ru
2021-01-07	Test API Sandbox campaign 1	1.20	1870	216	11.55	93050000	430000	2.59	alexmart2.narod.ru
2021-01-07	Test API Sandbox campaign 1	1.22	272	52	19.12	13220000	250000	4.00	alexmart2.narod.ru
2021-01-07	Test API Sandbox campaign 1	1.18	157	22	14.01	17290000	790000	1.26	all.by
2021-01-07	Test API Sandbox campaign 1	1.00	592	22	3.72	23140000	1050000	2.20	all.by
2021-01-07	Test API Sandbox campaign 1	1.25	95	5	5.26	1270000	250000	1.00	androids-apps
2021-01-07	Test API Sandbox campaign 1	1.06	937	40	4.27	39660000	990000	3.84	androids-apps
2021-01-07	Test API Sandbox campaign 1	1.00	224	7	3.12	6360000	910000	1.80	aportru-search
2021-01-07	Test API Sandbox campaign 1	1.20	256	36	14.06	30760000	850000	2.20	aportru-search
2021-01-07	Test API Sandbox campaign 1	--	30	0	0.00	0	--	--	asdasd
2021-01-07	Test API Sandbox campaign 1	1.00	1830	15	0.82	8390000	560000	1.67	asdasd
2021-01-07	Test API Sandbox campaign 1	1.17	622	34	5.47	37120000	1090000	3.13	auto.vl.ru
2021-01-07	Test API Sandbox campaign 1	1.17	1104	100	9.06	83900000	840000	1.82	auto.vl.ru
2021-01-07	Test API Sandbox campaign 1	1.18	944	102	10.81	39660000	390000	2.05	autobiznes.ru
2021-01-07	Test API Sandbox campaign 1	1.00	568	10	1.76	2540000	250000	4.00	autobiznes.ru
2021-01-07	Test API Sandbox campaign 1	1.21	1070	77	7.20	66990000	870000	2.63	bankir.ru
2021-01-07	Test API Sandbox campaign 1	1.15	922	93	10.09	88470000	950000	4.10	bankir.ru
2021-01-07	Test API Sandbox campaign 1	1.25	44	11	25.00	11190000	1020000	3.00	bankir.ru
2021-01-07	Test API Sandbox campaign 1	1.18	227	30	13.22	20970000	700000	3.00	bar.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.21	1065	80	7.51	45380000	570000	2.97	bar.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.20	37	6	16.22	3810000	640000	5.00	bibika.ru
2021-01-07	Test API Sandbox campaign 1	1.17	1668	120	7.19	83900000	700000	3.23	bibika.ru
2021-01-07	Test API Sandbox campaign 1	1.16	882	83	9.41	39410000	470000	2.77	business.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.15	548	68	12.41	40680000	600000	2.00	cards-main
2021-01-07	Test API Sandbox campaign 1	1.23	712	118	16.57	89490000	760000	1.85	cards-main
2021-01-07	Test API Sandbox campaign 1	1.22	417	159	38.13	44620000	280000	3.04	cooking.ru
2021-01-07	Test API Sandbox campaign 1	1.22	2124	90	4.24	91530000	1020000	2.56	cooking.ru
2021-01-07	Test API Sandbox campaign 1	1.20	1321	104	7.87	29490000	280000	4.00	date.by
2021-01-07	Test API Sandbox campaign 1	1.19	868	65	7.49	45890000	710000	1.68	dict-search
2021-01-07	Test API Sandbox campaign 1	1.00	80	6	7.50	2290000	380000	1.00	dict-search
2021-01-07	Test API Sandbox campaign 1	1.19	663	106	15.99	30760000	290000	2.75	direct-campaigns
2021-01-07	Test API Sandbox campaign 1	1.22	1593	67	4.21	20210000	300000	2.36	direct-rank-forecast
2021-01-07	Test API Sandbox campaign 1	1.18	220	15	6.82	3810000	250000	3.00	direct-rank-forecast
2021-01-07	Test API Sandbox campaign 1	1.00	227	3	1.32	760000	250000	2.00	direct-rank-rambler
2021-01-07	Test API Sandbox campaign 1	1.18	994	64	6.44	30000000	470000	1.55	direct-rank-rambler
2021-01-07	Test API Sandbox campaign 1	1.00	180	4	2.22	4580000	1140000	5.00	direct-rank
2021-01-07	Test API Sandbox campaign 1	1.18	2078	174	8.37	141860000	820000	3.55	direct-rank
2021-01-07	Test API Sandbox campaign 1	1.14	70	10	14.29	5080000	510000	2.00	direct-rank2
2021-01-07	Test API Sandbox campaign 1	1.17	260	78	30.00	41190000	530000	3.38	direct-rank2
2021-01-07	Test API Sandbox campaign 1	1.21	436	136	31.19	59360000	440000	1.76	direct-rank3
2021-01-07	Test API Sandbox campaign 1	1.08	388	16	4.12	10170000	640000	1.46	direct.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.18	564	46	8.16	45890000	1000000	1.90	direct.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.15	258	53	20.54	50720000	960000	2.26	domain-cost-min
2021-01-07	Test API Sandbox campaign 1	1.16	430	26	6.05	23390000	900000	3.18	ertertert.test.ru
2021-01-07	Test API Sandbox campaign 1	1.16	1001	81	8.09	49960000	620000	1.94	ertertert.test.ru
2021-01-07	Test API Sandbox campaign 1	1.17	255	91	35.69	89240000	980000	2.23	euro-main
2021-01-07	Test API Sandbox campaign 1	1.14	44	10	22.73	2540000	250000	1.00	euro-main
2021-01-07	Test API Sandbox campaign 1	1.20	929	111	11.95	63690000	570000	3.02	eurovision.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.22	1076	46	4.28	33050000	720000	1.21	ghjghjg
2021-01-07	Test API Sandbox campaign 1	1.17	82	15	18.29	6100000	410000	2.62	ghjghjg
2021-01-07	Test API Sandbox campaign 1	1.14	1420	72	5.07	35850000	500000	1.86	helpix.ru
2021-01-07	Test API Sandbox campaign 1	1.19	418	44	10.53	44240000	1010000	4.53	helpix.ru
2021-01-07	Test API Sandbox campaign 1	1.19	515	79	15.34	29750000	380000	2.44	itnews.com.ua
2021-01-07	Test API Sandbox campaign 1	1.10	160	26	16.25	13220000	510000	2.36	itnews.com.ua
2021-01-07	Test API Sandbox campaign 1	1.18	1119	109	9.74	51100000	470000	2.52	lego
2021-01-07	Test API Sandbox campaign 1	1.14	206	18	8.74	4580000	250000	1.00	lego
2021-01-07	Test API Sandbox campaign 1	1.20	2784	174	6.25	47290000	270000	3.97	luzhok.ru
2021-01-07	Test API Sandbox campaign 1	1.18	144	15	10.42	13350000	890000	5.00	m.images.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.12	850	66	7.76	54920000	830000	3.68	m.images.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.23	349	18	5.16	4580000	250000	3.60	m.images.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.19	676	88	13.02	51100000	580000	1.37	m.images.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.12	1167	44	3.77	37880000	860000	4.22	mail.ru
2021-01-07	Test API Sandbox campaign 1	1.18	84	15	17.86	3810000	250000	2.00	mail.ru
2021-01-07	Test API Sandbox campaign 1	1.13	464	41	8.84	22120000	540000	3.57	mail.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.12	103	20	19.42	11950000	600000	1.24	mail.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.15	1064	68	6.39	21360000	310000	3.93	maps-beta
2021-01-07	Test API Sandbox campaign 1	1.15	101	17	16.83	11310000	670000	1.29	maps-beta
2021-01-07	Test API Sandbox campaign 1	1.15	524	34	6.49	21360000	630000	1.53	maps.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.00	114	8	7.02	9150000	1140000	2.00	maps.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.20	994	98	9.86	37120000	380000	1.93	maps.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.14	71	8	11.27	2290000	290000	4.17	maps.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.14	112	30	26.79	19070000	640000	4.00	market-category-models
2021-01-07	Test API Sandbox campaign 1	1.21	780	78	10.00	79320000	1020000	2.82	market-category-models
2021-01-07	Test API Sandbox campaign 1	1.19	542	78	14.39	86190000	1100000	3.12	market.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.21	1184	54	4.56	40930000	760000	1.52	market.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.00	26	3	11.54	1530000	510000	1.00	med-lib.ru
2021-01-07	Test API Sandbox campaign 1	1.14	396	45	11.36	32030000	710000	3.00	med-lib.ru
2021-01-07	Test API Sandbox campaign 1	1.14	344	58	16.86	40170000	690000	1.92	medprom.ru
2021-01-07	Test API Sandbox campaign 1	1.17	114	17	14.91	13220000	780000	3.60	medprom.ru
2021-01-07	Test API Sandbox campaign 1	1.12	273	39	14.29	23640000	610000	2.48	medprom.ru
2021-01-07	Test API Sandbox campaign 1	1.10	216	14	6.48	7120000	510000	5.00	medprom.ru
2021-01-07	Test API Sandbox campaign 1	--	64	0	0.00	0	--	--	money-cards
2021-01-07	Test API Sandbox campaign 1	1.18	2126	208	9.78	195250000	940000	4.38	money-cards
2021-01-07	Test API Sandbox campaign 1	1.22	1101	93	8.45	64830000	700000	2.33	money-prepaid
2021-01-07	Test API Sandbox campaign 1	1.00	347	5	1.44	1270000	250000	4.67	money-prepaid
2021-01-07	Test API Sandbox campaign 1	1.21	221	63	28.51	58730000	930000	4.75	money-success-prepaid
2021-01-07	Test API Sandbox campaign 1	1.16	311	33	10.61	37370000	1130000	3.21	money-success-prepaid
2021-01-07	Test API Sandbox campaign 1	1.23	1022	60	5.87	43470000	720000	3.88	money-success-win
2021-01-07	Test API Sandbox campaign 1	1.16	339	42	12.39	44620000	1060000	2.35	money-success-win
2021-01-07	Test API Sandbox campaign 1	1.12	809	32	3.96	12200000	380000	2.50	money-success
2021-01-07	Test API Sandbox campaign 1	1.21	1079	40	3.71	19830000	500000	4.71	money-success
2021-01-07	Test API Sandbox campaign 1	1.14	136	36	26.47	22880000	640000	2.00	mp3-counting
2021-01-07	Test API Sandbox campaign 1	1.13	3816	264	6.92	202370000	770000	1.79	mp3-counting
2021-01-07	Test API Sandbox campaign 1	1.17	848	87	10.26	67500000	780000	2.91	news-main
2021-01-07	Test API Sandbox campaign 1	1.25	404	22	5.45	22370000	1020000	4.00	news-main
2021-01-07	Test API Sandbox campaign 1	1.14	322	38	11.80	9660000	250000	5.00	nigma.livestream.ru
2021-01-07	Test API Sandbox campaign 1	1.18	1180	156	13.22	50340000	320000	3.34	nigma.livestream.ru
2021-01-07	Test API Sandbox campaign 1	1.21	424	55	12.97	33560000	610000	2.57	olymp2010.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.00	129	10	7.75	6740000	670000	2.14	olymp2010.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.17	2658	96	3.61	34070000	350000	2.23	order-state
2021-01-07	Test API Sandbox campaign 1	1.19	964	124	12.86	94580000	760000	4.78	order-state
2021-01-07	Test API Sandbox campaign 1	1.17	1955	63	3.22	56060000	890000	4.28	oren.ru
2021-01-07	Test API Sandbox campaign 1	1.18	689	22	3.19	8640000	390000	3.53	ozbor.narod.ru
2021-01-07	Test API Sandbox campaign 1	1.00	587	19	3.24	19320000	1020000	4.40	ozbor.narod.ru
2021-01-07	Test API Sandbox campaign 1	1.23	443	109	24.60	90380000	830000	3.78	palmq.ru
2021-01-07	Test API Sandbox campaign 1	1.20	852	18	2.11	4580000	250000	4.20	palmq.ru
2021-01-07	Test API Sandbox campaign 1	1.00	44	1	2.27	250000	250000	3.00	palmq.ru
2021-01-07	Test API Sandbox campaign 1	1.14	31	9	29.03	2290000	250000	2.00	pda-mail-done
2021-01-07	Test API Sandbox campaign 1	1.22	599	86	14.36	79580000	930000	4.08	pda-mail-done
2021-01-07	Test API Sandbox campaign 1	1.18	1168	104	8.90	82370000	790000	3.44	pda-market
2021-01-07	Test API Sandbox campaign 1	1.18	2092	168	8.03	115170000	690000	4.64	pda1.ru
2021-01-07	Test API Sandbox campaign 1	1.20	190	84	44.21	46270000	550000	3.00	pda1.ru
2021-01-07	Test API Sandbox campaign 1	1.22	27	12	44.44	3050000	250000	1.00	play-other
2021-01-07	Test API Sandbox campaign 1	1.18	356	91	25.56	37500000	410000	3.26	play-other
2021-01-07	Test API Sandbox campaign 1	1.14	1034	76	7.35	37630000	500000	3.00	povodok.ru
2021-01-07	Test API Sandbox campaign 1	1.14	456	20	4.39	22880000	1140000	2.00	povodok.ru
2021-01-07	Test API Sandbox campaign 1	1.21	415	70	16.87	27970000	400000	2.49	povodok.ru
2021-01-07	Test API Sandbox campaign 1	1.20	68	14	20.59	3560000	250000	5.00	product.ru
2021-01-07	Test API Sandbox campaign 1	1.17	805	51	6.34	36990000	730000	3.64	product.ru
2021-01-07	Test API Sandbox campaign 1	1.21	102	40	39.22	31780000	790000	3.29	rasp.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.21	242	39	16.12	19450000	500000	4.21	rasp.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.25	126	5	3.97	2540000	510000	4.00	salon.su
2021-01-07	Test API Sandbox campaign 1	1.15	792	66	8.33	30510000	460000	4.41	salon.su
2021-01-07	Test API Sandbox campaign 1	1.20	620	115	18.55	83900000	730000	3.35	sdfsfsdfsd.test.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.21	1683	153	9.09	74360000	490000	2.71	search.74mail.ru
2021-01-07	Test API Sandbox campaign 1	1.20	93	18	19.35	13730000	760000	3.00	search.74mail.ru
2021-01-07	Test API Sandbox campaign 1	1.17	525	80	15.24	75000000	940000	3.63	search.74mail.ru
2021-01-07	Test API Sandbox campaign 1	1.25	36	11	30.56	8390000	760000	1.00	search.74mail.ru
2021-01-07	Test API Sandbox campaign 1	1.19	551	41	7.44	26190000	640000	3.97	search.bigmir.net
2021-01-07	Test API Sandbox campaign 1	1.20	136	42	30.88	15640000	370000	3.89	search.bigmir.net
2021-01-07	Test API Sandbox campaign 1	1.19	237	21	8.86	6610000	310000	1.00	search.tut.by
2021-01-07	Test API Sandbox campaign 1	1.21	391	64	16.37	37630000	590000	3.70	search.tut.by
2021-01-07	Test API Sandbox campaign 1	1.17	288	34	11.81	28470000	840000	3.00	slider
2021-01-07	Test API Sandbox campaign 1	1.19	223	73	32.74	54150000	740000	2.57	slider
2021-01-07	Test API Sandbox campaign 1	1.21	358	90	25.14	49320000	550000	2.58	tamognia.ru
2021-01-07	Test API Sandbox campaign 1	1.00	40	3	7.50	760000	250000	2.00	tamognia.ru
2021-01-07	Test API Sandbox campaign 1	1.22	1321	85	6.43	23390000	280000	3.14	tamognia.ru
2021-01-07	Test API Sandbox campaign 1	1.15	287	17	5.92	11310000	670000	3.00	tamognia.ru
2021-01-07	Test API Sandbox campaign 1	1.20	612	58	9.48	43220000	750000	4.44	telegraf.by
2021-01-07	Test API Sandbox campaign 1	1.00	2430	24	0.99	13730000	570000	4.12	telegraf.by
2021-01-07	Test API Sandbox campaign 1	1.21	862	80	9.28	44750000	560000	5.00	test.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.23	1756	112	6.38	64070000	570000	3.39	test.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.14	1304	78	5.98	21360000	270000	2.19	test3.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.18	768	72	9.38	41190000	570000	3.43	topping.com.ua
2021-01-07	Test API Sandbox campaign 1	1.24	2688	228	8.48	146060000	640000	3.38	topping.com.ua
2021-01-07	Test API Sandbox campaign 1	1.20	1932	94	4.87	62030000	660000	2.40	touch-apps
2021-01-07	Test API Sandbox campaign 1	1.18	580	40	6.90	36610000	920000	2.00	touch-apps
2021-01-07	Test API Sandbox campaign 1	1.21	183	26	14.21	6610000	250000	1.45	travel.ru
2021-01-07	Test API Sandbox campaign 1	1.18	977	28	2.87	28220000	1010000	3.38	travel.ru
2021-01-07	Test API Sandbox campaign 1	1.22	567	39	6.88	24790000	640000	1.00	turizm.ru
2021-01-07	Test API Sandbox campaign 1	1.16	2661	234	8.79	125080000	530000	3.30	turizm.ru
2021-01-07	Test API Sandbox campaign 1	1.23	1206	98	8.13	67370000	690000	4.60	tv-main
2021-01-07	Test API Sandbox campaign 1	1.18	552	30	5.43	21860000	730000	3.54	tv.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.21	942	66	7.01	38140000	580000	2.64	tv.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.22	495	60	12.12	33690000	560000	2.80	vashdom.ru
2021-01-07	Test API Sandbox campaign 1	1.14	1584	72	4.55	34070000	470000	2.59	video.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.00	151	1	0.66	1140000	1140000	4.00	webmaster-addurl
2021-01-07	Test API Sandbox campaign 1	1.19	1031	88	8.54	22370000	250000	1.21	webmaster-addurl
2021-01-07	Test API Sandbox campaign 1	1.00	306	4	1.31	1020000	250000	4.00	werwerwerwe.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.23	820	70	8.54	32800000	470000	2.10	werwerwerwe.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.20	410	144	35.12	42710000	300000	3.32	www.nigma.ru
2021-01-07	Test API Sandbox campaign 1	1.20	31	6	19.35	5340000	890000	4.00	yaca.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.16	615	91	14.80	30000000	330000	2.65	yaca.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.21	1444	66	4.57	26440000	400000	3.29	yaca.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.25	56	10	17.86	10170000	1020000	3.00	yaca.yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.17	980	98	10.00	24920000	250000	2.86	yandex-2009-others
2021-01-07	Test API Sandbox campaign 1	1.19	178	46	25.84	34830000	760000	1.55	yandex-2009-others
2021-01-07	Test API Sandbox campaign 1	1.19	620	214	34.52	86950000	410000	1.27	yandex-search-test
2021-01-07	Test API Sandbox campaign 1	1.18	1630	314	19.26	125590000	400000	5.00	yandex-ua-main
2021-01-07	Test API Sandbox campaign 1	1.10	153	13	8.50	6740000	520000	5.00	yandex-vote
2021-01-07	Test API Sandbox campaign 1	1.21	268	76	28.36	49830000	660000	2.53	yandex-vote
2021-01-07	Test API Sandbox campaign 1	1.19	2208	182	8.24	59240000	330000	2.34	yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.00	156	12	7.69	3050000	250000	1.00	yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.12	265	10	3.77	2670000	270000	4.11	yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.15	395	35	8.86	9660000	280000	1.10	yandex.ru
2021-01-07	Test API Sandbox campaign 1	1.16	802	39	4.86	11190000	290000	3.19	yandex.ru
2021-01-08	Test API Sandbox campaign 1	1.22	1340	130	9.70	33050000	250000	1.00	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.21	11280	540	4.79	272030000	500000	3.42	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.00	1037	6	0.58	2290000	380000	3.20	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.20	279	25	8.96	12580000	500000	1.57	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.18	503	45	8.95	31140000	690000	1.92	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.21	518	38	7.34	19830000	520000	3.00	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.18	307	15	4.89	13220000	880000	2.50	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.17	959	47	4.90	22630000	480000	1.22	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.10	692	26	3.76	16780000	650000	3.14	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.22	599	12	2.00	9150000	760000	1.00	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.00	279	12	4.30	6860000	570000	3.33	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.14	34	10	29.41	6360000	640000	1.00	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.22	861	96	11.15	46530000	480000	2.19	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.20	98	14	14.29	8900000	640000	2.00	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.17	528	93	17.61	62290000	670000	3.56	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.17	84	16	19.05	4070000	250000	5.00	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.21	1070	210	19.63	91530000	440000	1.18	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.09	1042	78	7.49	54150000	690000	2.25	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.22	634	62	9.78	41190000	660000	4.00	yandex.ru (главная страница)
2021-01-08	Test API Sandbox campaign 1	1.20	660	84	12.73	74750000	890000	1.00	Я.Каталог
2021-01-08	Test API Sandbox campaign 1	1.17	291	32	11.00	8140000	250000	1.86	Я.Каталог
2021-01-08	Test API Sandbox campaign 1	1.19	1060	71	6.70	49070000	690000	1.44	afisha-other
2021-01-08	Test API Sandbox campaign 1	1.17	26	8	30.77	3050000	380000	2.00	afisha-other
2021-01-08	Test API Sandbox campaign 1	1.19	268	20	7.46	12200000	610000	2.65	afisha-rubric
2021-01-08	Test API Sandbox campaign 1	1.16	374	65	17.38	45890000	710000	2.22	afisha-rubric
2021-01-08	Test API Sandbox campaign 1	1.19	136	36	26.47	21100000	590000	2.53	alexmart2.narod.ru
2021-01-08	Test API Sandbox campaign 1	1.21	589	53	9.00	28350000	530000	1.60	alexmart2.narod.ru
2021-01-08	Test API Sandbox campaign 1	1.17	439	62	14.12	29490000	480000	1.44	alexmart2.narod.ru
2021-01-08	Test API Sandbox campaign 1	1.07	597	15	2.51	13730000	920000	1.45	androids-apps
2021-01-08	Test API Sandbox campaign 1	1.14	92	19	20.65	11950000	630000	3.53	androids-apps
2021-01-08	Test API Sandbox campaign 1	1.11	1144	96	8.39	48810000	510000	2.25	auto-brands
2021-01-08	Test API Sandbox campaign 1	1.10	732	26	3.55	10680000	410000	4.45	auto-brands
2021-01-08	Test API Sandbox campaign 1	1.20	86	12	13.95	10680000	890000	2.00	auto-main
2021-01-08	Test API Sandbox campaign 1	1.23	1754	198	11.29	83900000	420000	4.30	auto-main
2021-01-08	Test API Sandbox campaign 1	1.20	610	39	6.39	41570000	1070000	2.91	auto.ru
2021-01-08	Test API Sandbox campaign 1	1.20	121	7	5.79	3560000	510000	2.00	autobiznes.ru
2021-01-08	Test API Sandbox campaign 1	1.19	290	72	24.83	51860000	720000	2.00	autobiznes.ru
2021-01-08	Test API Sandbox campaign 1	1.10	164	26	15.85	6610000	250000	4.00	bankir.ru
2021-01-08	Test API Sandbox campaign 1	1.18	1432	170	11.87	182030000	1070000	3.97	bankir.ru
2021-01-08	Test API Sandbox campaign 1	1.22	1338	84	6.28	35590000	420000	3.60	bar.yandex.ru
2021-01-08	Test API Sandbox campaign 1	1.16	1010	104	10.30	49320000	470000	3.53	bar.yandex.ru
2021-01-08	Test API Sandbox campaign 1	1.25	43	11	25.58	11190000	1020000	1.00	bibika.ru
2021-01-08	Test API Sandbox campaign 1	1.20	609	53	8.70	16910000	320000	4.89	bibika.ru
2021-01-08	Test API Sandbox campaign 1	1.11	1426	69	4.84	48050000	700000	2.27	bigmir-search-test
2021-01-08	Test API Sandbox campaign 1	1.17	798	186	23.31	118220000	640000	3.35	blogs.yandex.ru
2021-01-08	Test API Sandbox campaign 1	1.24	273	72	26.37	53010000	740000	3.00	blogs.yandex.ru
2021-01-08	Test API Sandbox campaign 1	1.00	1052	24	2.28	25930000	1080000	1.00	cards-main
2021-01-08	Test API Sandbox campaign 1	1.25	73	11	15.07	4190000	380000	5.00	cards-main
