"ReportLast90_22 (2021-01-07 - 2021-04-06)"
Date	CampaignName	AvgClickPosition	Impressions	Clicks	Ctr	Cost	AvgCpc	AvgPageviews
2021-02-06	Test API Sandbox campaign 1	1.18	157370	12764	8.11	7550470000	590000	2.96
2021-02-07	Test API Sandbox campaign 1	1.18	154238	12853	8.33	7439360000	580000	3.05
2021-02-08	Test API Sandbox campaign 1	1.18	140951	12947	9.19	7551740000	580000	3.05
2021-02-09	Test API Sandbox campaign 1	1.18	135529	12683	9.36	7629030000	600000	3.16
2021-02-10	Test API Sandbox campaign 1	1.18	151469	13121	8.66	7917710000	600000	3.01
2021-02-11	Test API Sandbox campaign 1	1.18	161985	12895	7.96	8175250000	630000	2.91
2021-02-12	Test API Sandbox campaign 1	1.18	136417	13026	9.55	8547580000	660000	2.96
2021-02-13	Test API Sandbox campaign 1	1.17	145224	11822	8.14	7010970000	590000	2.92
2021-02-14	Test API Sandbox campaign 1	1.18	160170	13891	8.67	8292970000	600000	3.03
2021-02-15	Test API Sandbox campaign 1	1.17	143743	12589	8.76	7951650000	630000	2.81
2021-02-16	Test API Sandbox campaign 1	1.18	147302	12228	8.30	7435810000	610000	3.01
2021-02-17	Test API Sandbox campaign 1	1.18	154828	13318	8.60	8694530000	650000	3.00
2021-02-18	Test API Sandbox campaign 1	1.18	136423	12624	9.25	7899150000	630000	3.11
2021-02-19	Test API Sandbox campaign 1	1.18	144113	12579	8.73	7561650000	600000	2.98
2021-02-20	Test API Sandbox campaign 1	1.18	152118	13384	8.80	8272630000	620000	3.09
2021-02-21	Test API Sandbox campaign 1	1.18	155638	13090	8.41	7722580000	590000	2.99
2021-02-22	Test API Sandbox campaign 1	1.18	140050	12782	9.13	7501270000	590000	3.02
2021-02-23	Test API Sandbox campaign 1	1.17	159582	11035	6.91	6854110000	620000	2.90
2021-02-24	Test API Sandbox campaign 1	1.17	148992	12609	8.46	7936140000	630000	3.10
2021-02-25	Test API Sandbox campaign 1	1.18	152665	12122	7.94	7699190000	640000	2.99
2021-02-26	Test API Sandbox campaign 1	1.18	137419	13246	9.64	8129620000	610000	3.05
2021-02-27	Test API Sandbox campaign 1	1.18	150433	13538	9.00	8560810000	630000	3.05
2021-02-28	Test API Sandbox campaign 1	1.18	148322	13755	9.27	8413730000	610000	3.04
2021-03-01	Test API Sandbox campaign 1	1.18	134449	13589	10.11	8178810000	600000	3.08
2021-03-02	Test API Sandbox campaign 1	1.18	136277	12720	9.33	7715970000	610000	2.95
2021-03-03	Test API Sandbox campaign 1	1.17	143425	13218	9.22	7960930000	600000	2.94
2021-03-04	Test API Sandbox campaign 1	1.18	156625	13619	8.70	7909700000	580000	2.91
2021-03-05	Test API Sandbox campaign 1	1.18	158160	12782	8.08	7641480000	600000	3.10
2021-03-06	Test API Sandbox campaign 1	1.18	159704	13431	8.41	8415760000	630000	3.19
2021-03-07	Test API Sandbox campaign 1	1.18	150212	13396	8.92	8261310000	620000	2.93
2021-03-08	Test API Sandbox campaign 1	1.18	151981	13040	8.58	8413600000	650000	2.71
2021-03-09	Test API Sandbox campaign 1	1.18	145915	12672	8.68	7265850000	570000	2.95
2021-03-10	Test API Sandbox campaign 1	1.18	140558	12185	8.67	7012750000	580000	2.87
2021-03-11	Test API Sandbox campaign 1	1.18	157439	12999	8.26	8021820000	620000	3.09
2021-03-12	Test API Sandbox campaign 1	1.18	146427	13072	8.93	7775970000	590000	2.91
2021-03-13	Test API Sandbox campaign 1	1.18	140267	13520	9.64	8134320000	600000	2.83
2021-03-14	Test API Sandbox campaign 1	1.18	147919	12791	8.65	7868900000	620000	3.07
2021-03-15	Test API Sandbox campaign 1	1.18	154330	12905	8.36	8042800000	620000	2.81
2021-03-16	Test API Sandbox campaign 1	1.18	158108	13276	8.40	7631440000	570000	2.93
2021-03-17	Test API Sandbox campaign 1	1.18	146991	12653	8.61	7484360000	590000	3.10
2021-03-18	Test API Sandbox campaign 1	1.18	151096	12714	8.41	7240420000	570000	3.12
2021-03-19	Test API Sandbox campaign 1	1.18	148139	12637	8.53	7690170000	610000	2.98
2021-03-20	Test API Sandbox campaign 1	1.18	150243	12989	8.65	8427330000	650000	2.99
2021-03-21	Test API Sandbox campaign 1	1.18	137360	12106	8.81	7495680000	620000	3.03
2021-03-22	Test API Sandbox campaign 1	1.18	149431	12727	8.52	7627120000	600000	3.04
2021-03-23	Test API Sandbox campaign 1	1.18	143684	12312	8.57	7612500000	620000	3.02
2021-03-24	Test API Sandbox campaign 1	1.18	139068	13188	9.48	8155040000	620000	2.76
2021-03-25	Test API Sandbox campaign 1	1.18	149704	13396	8.95	8244790000	620000	3.08
2021-03-26	Test API Sandbox campaign 1	1.18	154627	13498	8.73	8640000000	640000	2.97
2021-03-27	Test API Sandbox campaign 1	1.18	139228	13635	9.79	9026570000	660000	2.89
2021-03-28	Test API Sandbox campaign 1	1.18	135025	12887	9.54	7937290000	620000	2.93
2021-03-29	Test API Sandbox campaign 1	1.18	156899	12946	8.25	8314700000	640000	3.07
2021-03-30	Test API Sandbox campaign 1	1.18	142434	12752	8.95	7368810000	580000	2.89
2021-03-31	Test API Sandbox campaign 1	1.18	153545	13120	8.54	8046610000	610000	2.87
2021-04-01	Test API Sandbox campaign 1	1.17	147549	12890	8.74	8065810000	630000	3.07
2021-04-02	Test API Sandbox campaign 1	1.18	146812	13289	9.05	7975810000	600000	3.11
2021-04-03	Test API Sandbox campaign 1	1.18	145737	13140	9.02	7826950000	600000	2.99
2021-04-04	Test API Sandbox campaign 1	1.17	144816	12416	8.57	7377200000	590000	3.07
2021-04-05	Test API Sandbox campaign 1	1.18	159328	13014	8.17	7779030000	600000	3.08
2021-04-06	Test API Sandbox campaign 1	1.17	148869	13029	8.75	7921020000	610000	2.93
Total rows: 90
