"ReportLast90_29 (2021-01-07 - 2021-04-06)"
Date	CampaignName	Impressions	Clicks	Ctr	Cost	AvgCpc	AvgPageviews	Profit	Conversions	Revenue
2021-02-08	Test API Sandbox campaign 1	145138	12993	8.95	7824150000	600000	3.06	0	--	0
2021-02-09	Test API Sandbox campaign 1	146689	11862	8.09	7195420000	610000	3.05	0	--	0
2021-02-10	Test API Sandbox campaign 1	146648	13229	9.02	8063520000	610000	3.09	0	--	0
2021-02-11	Test API Sandbox campaign 1	151007	13267	8.79	8460250000	640000	2.99	0	--	0
2021-02-12	Test API Sandbox campaign 1	139382	13054	9.37	8232970000	630000	2.94	0	--	0
2021-02-13	Test API Sandbox campaign 1	142116	11925	8.39	7057880000	590000	2.92	0	--	0
2021-02-14	Test API Sandbox campaign 1	161512	14073	8.71	8812120000	630000	2.97	0	--	0
2021-02-15	Test API Sandbox campaign 1	145067	12522	8.63	7917970000	630000	2.83	0	--	0
2021-02-16	Test API Sandbox campaign 1	146301	12613	8.62	7458690000	590000	3.00	0	--	0
2021-02-17	Test API Sandbox campaign 1	157567	12965	8.23	8391860000	650000	3.00	0	--	0
2021-02-18	Test API Sandbox campaign 1	137995	13086	9.48	8241860000	630000	3.08	0	--	0
2021-02-19	Test API Sandbox campaign 1	142980	12775	8.93	7507500000	590000	2.99	0	--	0
2021-02-20	Test API Sandbox campaign 1	145548	12755	8.76	7714700000	600000	3.08	0	--	0
2021-02-21	Test API Sandbox campaign 1	146938	13306	9.06	8048140000	600000	3.03	0	--	0
2021-02-22	Test API Sandbox campaign 1	147108	13145	8.94	7569280000	580000	3.01	0	--	0
2021-02-23	Test API Sandbox campaign 1	158615	11178	7.05	7080760000	630000	2.96	0	--	0
2021-02-24	Test API Sandbox campaign 1	150784	12841	8.52	8214030000	640000	3.05	0	--	0
2021-02-25	Test API Sandbox campaign 1	149636	12135	8.11	7465170000	620000	2.99	0	--	0
2021-02-26	Test API Sandbox campaign 1	144142	12967	9.00	8077500000	620000	3.07	0	--	0
2021-02-27	Test API Sandbox campaign 1	148867	13249	8.90	8144870000	610000	3.03	0	--	0
2021-02-28	Test API Sandbox campaign 1	151744	13780	9.08	8682840000	630000	3.08	0	--	0
2021-03-01	Test API Sandbox campaign 1	131152	13342	10.17	8211610000	620000	3.02	0	--	0
2021-03-02	Test API Sandbox campaign 1	135232	12705	9.39	8098980000	640000	3.01	0	--	0
2021-03-03	Test API Sandbox campaign 1	142968	12638	8.84	7662970000	610000	2.95	0	--	0
2021-03-04	Test API Sandbox campaign 1	148083	14193	9.58	8259280000	580000	3.03	0	--	0
2021-03-05	Test API Sandbox campaign 1	161554	12829	7.94	7883140000	610000	3.00	0	--	0
2021-03-06	Test API Sandbox campaign 1	156342	12542	8.02	7692200000	610000	3.11	0	--	0
2021-03-07	Test API Sandbox campaign 1	154976	13733	8.86	8360970000	610000	2.93	0	--	0
2021-03-08	Test API Sandbox campaign 1	156553	13254	8.47	8607080000	650000	2.65	0	--	0
2021-03-09	Test API Sandbox campaign 1	148983	13172	8.84	7680380000	580000	3.00	0	--	0
2021-03-10	Test API Sandbox campaign 1	134527	12232	9.09	7111400000	580000	3.03	0	--	0
2021-03-11	Test API Sandbox campaign 1	153675	13608	8.86	8325510000	610000	3.05	0	--	0
2021-03-12	Test API Sandbox campaign 1	156701	13142	8.39	8173470000	620000	2.92	0	--	0
2021-03-13	Test API Sandbox campaign 1	147693	12870	8.71	7754750000	600000	2.81	0	--	0
2021-03-14	Test API Sandbox campaign 1	142292	13055	9.17	7873860000	600000	2.99	0	--	0
2021-03-15	Test API Sandbox campaign 1	156663	12750	8.14	8232710000	650000	2.77	0	--	0
2021-03-16	Test API Sandbox campaign 1	150723	13183	8.75	7849070000	600000	2.89	0	--	0
2021-03-17	Test API Sandbox campaign 1	149316	12985	8.70	7780930000	600000	3.00	0	--	0
2021-03-18	Test API Sandbox campaign 1	151128	12859	8.51	7216270000	560000	3.19	0	--	0
2021-03-19	Test API Sandbox campaign 1	147591	12611	8.54	7845000000	620000	2.98	0	--	0
2021-03-20	Test API Sandbox campaign 1	156724	12416	7.92	7908180000	640000	3.03	0	--	0
2021-03-21	Test API Sandbox campaign 1	132613	11864	8.95	7240930000	610000	3.10	0	--	0
2021-03-22	Test API Sandbox campaign 1	153612	12812	8.34	7696530000	600000	3.02	0	--	0
2021-03-23	Test API Sandbox campaign 1	147936	12798	8.65	7703900000	600000	3.02	0	--	0
2021-03-24	Test API Sandbox campaign 1	141802	13365	9.43	8378140000	630000	2.85	0	--	0
2021-03-25	Test API Sandbox campaign 1	153300	13802	9.00	8615470000	620000	3.05	0	--	0
2021-03-26	Test API Sandbox campaign 1	147263	13567	9.21	8676230000	640000	3.02	0	--	0
2021-03-27	Test API Sandbox campaign 1	142545	13302	9.33	8674190000	650000	2.88	0	--	0
2021-03-28	Test API Sandbox campaign 1	139165	13226	9.50	8080680000	610000	3.03	0	--	0
2021-03-29	Test API Sandbox campaign 1	159336	12890	8.09	8240850000	640000	3.20	0	--	0
2021-03-30	Test API Sandbox campaign 1	147436	13148	8.92	7612120000	580000	2.93	0	--	0
2021-03-31	Test API Sandbox campaign 1	157719	13453	8.53	8158350000	610000	2.91	0	--	0
2021-04-01	Test API Sandbox campaign 1	147826	12517	8.47	7826950000	630000	3.05	0	--	0
2021-04-02	Test API Sandbox campaign 1	153707	12553	8.17	7709870000	610000	3.02	0	--	0
2021-04-03	Test API Sandbox campaign 1	146590	13196	9.00	7720550000	590000	2.91	0	--	0
2021-04-04	Test API Sandbox campaign 1	148808	12371	8.31	7588730000	610000	3.05	0	--	0
2021-04-05	Test API Sandbox campaign 1	158861	12703	8.00	7450420000	590000	3.07	0	--	0
2021-04-06	Test API Sandbox campaign 1	148274	12949	8.73	7716740000	600000	2.94	0	--	0
Total rows: 90
